鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道三段61~90號,10.79,商,,,1071101,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951005,173.84,0,0,2,有,有,13700000,78808,坡道平面,48.65,0,含增建或未登記建物。;,RPVOMLQLJINFFBF78CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路中慶巷1~30號,14.86,住,,,1071024,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960119,132.49,3,2,2,有,有,15800000,119254,坡道平面,15.27,0,,RPQPMLRLJINFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區東明一街142巷1~30號,149.25,住,,,1070920,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1001102,377.97,4,3,4,有,有,23000000,60851,坡道平面,55.38,0,,RPVRMLMLJINFFBF68CA
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路77巷1~30號,17.37,住,,,1071012,土地1建物1車位3,十六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050914,210.18,3,2,2,有,有,19550000,120196,坡道平面,79.56,3850000,,RPWOMLNLJINFFBF58CA
新莊區,房地(土地+建物),新北市新莊區中正路871~900號,34.04,住,,,1071020,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770614,114.5,3,2,1,有,有,8000000,69869,,0.0,0,,RPXPMLNLJINFFBF78CA
新莊區,房地(土地+建物),新北市新莊區中正路334巷1~30號,30.28,住,,,1071020,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650531,81.33,3,2,1,有,無,7200000,88528,,0.0,0,含增建或未登記建物。;,RPQQMLNLJINFFBF18CA
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷61~90號,12.98,住,,,1071103,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000915,102.47,2,1,1,有,有,12000000,117107,坡道平面,0.0,0,,RPTQMLNLJINFFBF48CA
林口區,房地(土地+建物),新北市林口區竹林路362巷1~30號,229.94,住,,,1070928,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690208,162.32,3,2,2,有,無,9500000,58526,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWQMLNLJINFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區中山路511~540號,10.65,商,,,1071030,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960927,119.03,2,1,1,有,有,6800000,57128,坡道平面,32.43,0,,RPWRMLNLJINFFBF88CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路三段211~240號,17.33,住,,,1071028,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840117,136.32,3,2,2,有,有,9900000,72623,坡道機械,0.0,0,,RPUNMLQJKINFFAF38CA
土城區,房地(土地+建物)+車位,新北市土城區中山路1~30號,72.39,工,,,1071002,土地1建物1車位1,二層,九層,廠辦,見其他登記事項,鋼筋混凝土造,1070702,270.85,0,0,0,無,有,21735500,80249,坡道平面,36.16,0,關係人交易廣告戶,RPQOMLTLJINFFAF48CA
土城區,房地(土地+建物),新北市土城區廣興街1~30號,29.66,住,,,1071004,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0780713,113.35000000000001,0,0,1,無,無,21000000,185267,,0.0,0,含增建或未登記建物。;,RPSOMLTLJINFFAF68CA
板橋區,房地(土地+建物),新北市板橋區南雅西路二段121~150號,21.4,住,,,1071016,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000517,145.06,3,2,2,有,無,16000000,110299,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLQLJINFFAF48CA
