鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
土城區,房地(土地+建物),新北市土城區裕生路83巷1~30號,21.28,住,,,1071107,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,84.35,3,2,1,有,無,6980000,82750,,0.0,0,,RPVQMLLLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區忠孝路48巷4弄61~90號,26.2,住,,,1071015,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710213,93.19,4,0,4,有,無,10300000,110527,,0.0,0,頂樓加蓋3間套房（3房3衛）,RPOSMLLLJINFFAF87CA
板橋區,土地,江子翠段第二崁小段181~210地號,68.67,商,,,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34730000,505752,,0.0,0,,RPRSMLLLJINFFAF18CA
土城區,房地(土地+建物)+車位,新北市土城區中央路四段241~270號,20.81,住,,,1071013,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040908,131.72,2,1,1,有,有,11850000,89964,坡道平面,40.7,0,,RPOOMLMLJINFFAF57CA
板橋區,房地(土地+建物)+車位,新北市板橋區滿平街1~30號,26.89,住,,,1071005,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871013,154.27,4,2,2,有,有,2800000,18150,升降機械,9.92,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;祖母賣給孫子頂樓增建,RPVPMLMLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區滿平街1~30號,109.79,住,,,1071005,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,180.75,4,3,2,有,無,9800000,54219,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;祖母賣給孫子,RPWPMLMLJINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,2.77,住,,,1071101,土地1建物1車位0,十九層,四十三層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,54.15,0,1,1,有,有,10600000,195753,,0.0,0,含增建或未登記建物。;,RPUNMLQLJINFFAF48CA
土城區,房地(土地+建物),新北市土城區裕生路21巷1弄1~30號,29.18,住,,,1071027,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690724,83.0,2,1,1,有,無,9000000,108434,,0.0,0,含增建或未登記建物。;,RPQPMLNLJINFFAF97CA
板橋區,房地(土地+建物),新北市板橋區館前東路156巷1~30號,93.0,住,,,1071024,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0620529,185.52,5,4,3,有,無,36800000,198361,,0.0,0,含增建或未登記建物。;,RPTPMLNLJINFFAF28CA
土城區,房地(土地+建物),新北市土城區學府路一段121~150號,6.04,住,,,1071016,土地1建物1車位0,十一層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840524,32.53,1,0,1,有,有,4100000,126038,,0.0,0,,RPQNMLTLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區文化路二段125巷1~30號,26.0,住,,,1070926,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.18,2,2,1,有,無,8800000,120251,,0.0,0,,RPWQMLTLJINFFAF66CA
板橋區,房地(土地+建物),新北市板橋區光華街13巷1~30號,19.69,住,,,1071108,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680309,65.05,4,2,3,有,無,8000000,122982,,0.0,0,,RPPNMLKMJINFFAF47CA
板橋區,房地(土地+建物),新北市板橋區裕民街133巷1~30號,16.3,住,,,1071031,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.71000000000001,2,2,1,有,無,7880000,108376,,0.0,0,,RPRSMLKMJINFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區宏國路31~60號,12.05,住,,,1071028,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070313,114.41,3,1,1,有,有,17700000,170822,升降機械,20.16,1600000,本案工程加減款等合計減款新台幣70萬元整,RPOOMLQJKINFFAF87CA
新莊區,房地(土地+建物)+車位,新北市新莊區昌隆街61~90號,16.49,其他,,,1071014,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910819,181.48,3,2,2,有,有,18600000,102491,坡道平面,38.54,0,含增建或未登記建物。;,RPUNMLMLJINFFBF18CA
新莊區,房地(土地+建物),新北市新莊區天祥街1巷1~30號,26.76,住,,,1071027,土地1建物1車位0,陽台，三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681017,86.84,3,2,1,有,無,6400000,73699,,0.0,0,含增建或未登記建物。;,RPQOMLMLJINFFBF87CA
新莊區,房地(土地+建物),新北市新莊區公園一路31~60號,21.41,住,,,1071016,土地1建物1車位0,平台，騎樓，停車場，一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690202,91.26,3,2,1,有,無,16000000,175323,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTPMLQLJINFFBF68CA
泰山區,土地,泰山段一小段571~600地號,1229.0,農,,,1071011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85510000,69577,,0.0,0,含增建或未登記建物。;,RPRPMLRLJINFFBF58CA
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道四段31~60號,16.27,商,,,1071007,土地1建物1車位1,十層,二十六層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1050323,158.06,2,2,1,有,有,18580000,139555,坡道平面,39.97,2100000,,RPRPMLSLJINFFBF68CA
新莊區,房地(土地+建物)+車位,新北市新莊區西盛街181~210號,26.65,住,,,1071011,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881210,165.06,3,2,2,有,有,11900000,72095,坡道平面,47.55,0,,RPWPMLSLJINFFBF56CA
林口區,房地(土地+建物)+車位,新北市林口區民權路1~30號,22.4,住,,,1071010,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950420,153.3,3,2,2,有,有,11000000,79443,坡道平面,31.2,1300000,,RPOOMLTLJINFFBF38CA
新莊區,房地(土地+建物),新北市新莊區龍安路278巷1~30號,11.46,住,,,1071027,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840729,78.6,2,2,1,有,有,7000000,89059,,0.0,0,,RPXPMLTLJINFFBF76CA
泰山區,房地(土地+建物),新北市泰山區德安街1~30號,16.6,工,,,1071013,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820326,95.31,3,1,1,有,有,6500000,68199,,0.0,0,,RPOQMLTLJINFFBF58CA
新莊區,房地(土地+建物)+車位,新北市新莊區中正路893巷31~60號,18.36,住,,,1071107,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000718,212.55,4,2,2,有,有,20000000,94096,坡道平面,28.9,0,,RPOPMLOJKINFFBF87CA
林口區,車位,新北市林口區文化二路一段20巷25弄31~60號,3.55,住,,,1071026,土地0建物0車位1,,,其他,,,,36.91,0,0,0,有,有,1550000,,坡道平面,36.91,1550000,,RPXNMLQJKINFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段1~30號,42.49,住,,,1071031,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050204,219.38,4,2,2,有,有,18220000,86249,坡道平面,31.32,2000000,,RPPNMLSJKINFFBF18CA
新莊區,房地(土地+建物),新北市新莊區瓊林路31~60號,25.48,住,,,1070922,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740211,89.16000000000001,3,2,1,有,無,6400000,71781,,0.0,0,,RPROMLRJKINFFBF38CA
林口區,房地(土地+建物),新北市林口區興林路152巷31~60號,144.97,住,,,1070910,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1061129,402.82,4,3,4,有,有,33000000,81922,,0.0,0,,RPRSMLKKKINFFBF18CA
新店區,車位,新北市新店區自立街99至91~120號,3.49,住,,,1071105,土地0建物0車位1,地下一層，地下二層,二十四層,其他,停車空間,見其他登記事項,0910905,33.09,0,0,0,有,有,1750000,,坡道平面,0.0,1750000,單獨車位交易。;,RPRPMLLLJINFFCF08CA
新店區,房地(土地+建物),新北市新店區寶興路45巷2弄31~60號,19.91,住,,,1070918,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980922,119.07,2,2,2,有,有,16800000,141093,,0.0,0,含增建或未登記建物。;,RPXPMLLLJINFFCF68CA
新店區,房地(土地+建物),新北市新店區德正街27巷29弄31~60號,41.52,住,,,1071017,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670817,98.98,4,2,2,有,無,11500000,116185,,0.0,0,含增建或未登記建物。;,RPPOMLMLJINFFCF87CA
新店區,土地,寶強段181~210地號,288.17,其他,,,1071107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30980000,107506,,0.0,0,(包含)公共設施保留地之交易。;,RPUNMLNLJINFFCF38CA
新店區,房地(土地+建物),新北市新店區中正路328巷1~30號,41.1,住,,,1070907,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630121,97.48,3,2,1,有,無,11800000,121050,,0.0,0,含增建或未登記建物。;,RPPOMLNLJINFFCF97CA
新店區,房地(土地+建物),新北市新店區檳榔路41巷1~30號,31.95,住,,,1071024,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670622,102.38,4,2,2,有,無,9800000,95722,,0.0,0,,RPSOMLNLJINFFCF28CA
新店區,土地,竹林段841~870地號,145.92,其他,,,1071109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13810000,94641,,0.0,0,(包含)公共設施保留地之交易。;,RPTNMLQLJINFFCF58CA
新店區,房地(土地+建物),新北市新店區安忠路57巷26弄31~60號,18.98,住,,,1071022,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920505,74.02,2,2,1,有,有,7500000,101324,,0.0,0,含增建或未登記建物。;,RPROMLQLJINFFCF48CA
新店區,房地(土地+建物)+車位,新北市新店區北新路一段121~150號,22.49,住,,,1040708,土地1建物1車位2,二十五層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070523,270.85,3,2,2,有,有,48590130,221554,坡道平面,73.2,4800000,總價內含面積找補款20130元。車位2個未分別計價。,RPQOMLRLJINFFCF48CA
新店區,房地(土地+建物),新北市新店區安康路二段242巷1~30號,28.77,住,,,1071024,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751205,98.38,3,1,1,有,有,3800000,38626,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLSLJINFFCF88CA
新店區,房地(土地+建物),新北市新店區頂城一街1巷1~30號,449.54,,山坡地保育區,丙種建築用地,1071009,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950612,369.21000000000004,4,2,4,有,有,56000000,151675,,0.0,0,權利人共二人持有.車庫停車,RPTOMLOJKINFFCF38CA
新店區,房地(土地+建物)+車位,新北市新店區寶中路61~90號,37.48,工,,,1071025,土地1建物1車位3,一層,八層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950815,302.76,1,1,0,有,有,30000000,99088,坡道平面,155.91,0,,RPXNMLPJKINFFCF78CA
新店區,房地(土地+建物)+車位,新北市新店區寶中路61~90號,37.45,工,,,1071025,土地1建物1車位3,一層,八層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950815,302.42,1,1,0,有,有,30000000,99200,坡道平面,155.91,0,,RPOOMLPJKINFFCF97CA
新店區,土地,北新段31~60地號,872.8,其他,,,1071024,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,264477601,303022,,0.0,0,(包含)公共設施保留地之交易。;,RPUNMLQJKINFFCF58CA
新店區,土地,行政段301~330地號,23.93,其他,,,1071024,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8372270,349865,,0.0,0,(包含)公共設施保留地之交易。;,RPVNMLQJKINFFCF68CA
新店區,土地,明德段451~480地號,31.36,其他,,,1071024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8807456,280850,,0.0,0,(包含)公共設施保留地之交易。;,RPWNMLQJKINFFCF78CA
新店區,土地,大豐段61~90地號,90.2,其他,,,1071024,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30178281,334571,,0.0,0,(包含)公共設施保留地之交易。;,RPXNMLQJKINFFCF88CA
新店區,土地,建國段211~240地號,331.51,其他,,,1071024,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84225386,254066,,0.0,0,(包含)公共設施保留地之交易。;,RPOOMLQJKINFFCF08CA
新店區,土地,北新段331~360地號,38.35,其他,,,1071024,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12939129,337396,,0.0,0,(包含)公共設施保留地之交易。;,RPPOMLQJKINFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段151~180號,19.67,住,,,1071010,土地1建物1車位1,十五層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060324,225.3,4,2,2,有,有,29800000,144120,坡道平面,29.63,1600000,,RPUPMLQJKINFFCF78CA
新店區,房地(土地+建物),新北市新店區寶興路31~60號,94.88,工,,,1071102,土地1建物2車位0,五層,五層,廠辦,工業用,鋼筋混凝土造,0681128,402.5,0,0,0,無,無,26880000,66783,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPVNMLTKKINFFCF09CA
新店區,車位,新北市新店區二十張路33巷1~30號,1.48,住,,,1071107,土地0建物0車位1,,,其他,,,,28.73,0,0,0,有,有,1300000,,升降機械,28.73,1300000,單獨車位交易。;,RPWOMLNJJHOFFCF48CA
金山區,土地,頂角段葵扇湖小段241~270地號,2995.0,,山坡地保育區,農牧用地,1071108,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2170,,0.0,0,1.全部稅費由買方負擔。,RPPOMLQLJINFFDF38CA
汐止區,房地(土地+建物)+車位,新北市汐止區中正路271~300號,17.59,住,,,1071017,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061212,128.48000000000002,3,2,1,有,有,18880000,167051,升降機械,24.44,1500000,,RPTNMLRLJINFFDF78CA
汐止區,房地(土地+建物),新北市汐止區汐萬路一段181~210號,16.15,住,,,1071025,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040605,98.44,2,2,1,有,有,8200000,83299,,0.0,0,,RPWOMLRLJINFFDF56CA
汐止區,房地(土地+建物),新北市汐止區汐萬路二段228巷31弄91~120號,40.95,,山坡地保育區,丙種建築用地,1071103,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841009,109.21,3,2,2,有,無,2600000,23807,,0.0,0,,RPQPMLSLJINFFDF78CA
汐止區,房地(土地+建物),新北市汐止區長江街57巷20弄1~30號,38.54,住,,,1071002,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691014,81.72,3,2,1,有,無,5650000,69139,,0.0,0,含增建或未登記建物。;,RPWNMLQJKINFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路31~60號,133.9,工,,,1071108,土地1建物1車位2,五層,十層,廠辦,見其他登記事項,鋼筋混凝土造,1051208,724.5,0,0,0,無,有,58854000,87394,坡道平面,88.56,3276552,,RPQNMLOKKINFFDF18CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路31~60號,136.56,工,,,1071108,土地1建物1車位3,六層,十層,廠辦,見其他登記事項,鋼筋混凝土造,1051208,768.79,0,0,0,無,有,60492000,87392,坡道平面,132.84,4914828,,RPRNMLOKKINFFDF28CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路31~60號,133.9,工,,,1071108,土地1建物1車位2,七層,十層,廠辦,見其他登記事項,鋼筋混凝土造,1051208,724.5,0,0,0,無,有,59059000,87395,坡道平面,88.56,3481336,,RPSNMLOKKINFFDF38CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路31~60號,136.56,工,,,1071108,土地1建物1車位3,八層,十層,廠辦,見其他登記事項,鋼筋混凝土造,1051208,768.79,0,0,0,無,有,60800000,87394,坡道平面,132.84,5222004,,RPTNMLOKKINFFDF48CA
萬里區,房地(土地+建物),新北市萬里區玉田1~30號,8.31,其他,,,1071025,土地2建物1車位0,七層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860626,37.68,1,1,1,有,有,1350000,35828,,0.0,0,,RPQNMLNJJHOFFDF87CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段31~60號,17.83,商,,,1020831,土地2建物1車位1,二十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,249.04,2,1,1,有,有,28960000,124340,坡道平面,27.39,1400000,,RPPNMLNLJINFFEF08CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段31~60號,8.74,商,,,1020818,土地2建物1車位1,五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,133.47,2,1,1,有,有,11870000,101527,坡道平面,27.39,1100000,,RPQNMLNLJINFFEF18CA
淡水區,房地(土地+建物),新北市淡水區中正路二段31~60號,7.37,商,,,1020808,土地2建物1車位0,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,93.86,1,1,1,有,有,9670000,103026,,0.0,0,,RPSNMLNLJINFFEF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段31~60號,16.63,商,,,1020920,土地2建物1車位1,十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,234.15999999999997,2,1,1,有,有,25820000,117860,坡道平面,27.39,1450000,,RPTNMLNLJINFFEF48CA
淡水區,房地(土地+建物),新北市淡水區中正路二段31~60號,6.37,商,,,1020803,土地2建物1車位0,七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,81.01,1,1,1,有,有,6200000,76534,,0.0,0,,RPUNMLNLJINFFEF58CA
淡水區,房地(土地+建物),新北市淡水區中正路二段31~60號,6.5,商,,,1020803,土地2建物1車位0,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,82.77,1,1,1,有,有,6400000,77323,,0.0,0,,RPVNMLNLJINFFEF68CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段31~60號,7.08,商,,,1020803,土地2建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,112.18,1,1,1,有,有,7850000,78429,坡道平面,27.39,1200000,,RPXNMLNLJINFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段31~60號,15.09,商,,,1030326,土地2建物1車位1,二十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,214.25,2,1,1,有,有,21100000,105962,坡道平面,27.39,1300000,,RPROMLNLJINFFEF38CA
淡水區,房地(土地+建物),新北市淡水區自強路128巷1~30號,19.25,住,,,1071029,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820118,118.21,3,2,2,有,有,8500000,71906,,0.0,0,,RPTOMLNLJINFFEF58CA
三芝區,土地,芝柏段691~720地號,95.05,,,,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,158139,1664,,0.0,0,,RPQTMLNLJINFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷61~90號,17.7,住,,,1070909,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060707,153.76,3,2,2,有,有,11460000,78528,坡道平面,26.29,1450000,,RPUNMLQLJINFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷61~90號,17.46,住,,,1070909,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060707,153.3,3,2,2,有,有,11430000,78576,坡道平面,26.29,1450000,,RPVNMLQLJINFFEF98CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷61~90號,16.47,住,,,1070808,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060707,149.57999999999998,3,2,2,有,有,10760000,77724,坡道平面,30.44,1500000,,RPWNMLQLJINFFEF09CA
三芝區,房地(土地+建物),新北市三芝區忠孝街1~30號,16.63,住,,,1071030,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710712,70.8,0,0,1,無,無,1450000,20480,,0.0,0,,RPXSMLQLJINFFEF07CA
淡水區,房地(土地+建物),新北市淡水區新民街91~120號,26.43,住,,,1071106,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800712,127.07,10,0,10,有,有,12000000,94436,,0.0,0,頂樓增建,RPXNMLRLJINFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路一段91~120號,20.38,住,,,1070725,土地1建物2車位1,十八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891220,279.45000000000005,0,0,0,無,有,16500000,59045,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;二戶打通,RPWRMLSLJINFFEF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路281巷1~30號,104.98,住,,,1071010,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0971106,254.2,4,3,2,有,有,15350000,60386,坡道平面,15.0,0,,RPRQMLTLJINFFEF56CA
八里區,土地,大八里坌段蛇子形小段601~630地號,1943.0,其他,,,1071101,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,3345,,0.0,0,,RPVOMLPJKINFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段126巷1~30號,24.63,住,,,1071009,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070706,170.62,3,2,2,有,無,10100000,65760,坡道平面,38.32,1400000,,RPOPMLQJKINFFEF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段126巷1~30號,24.44,住,,,1071020,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070706,169.82999999999998,3,2,2,有,無,11450000,77180,坡道平面,38.32,1300000,,RPQPMLQJKINFFEF58CA
八里區,房地(土地+建物)+車位,新北市八里區頂寮三街1~30號,14.46,住,,,1071015,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841013,100.49,2,1,2,有,有,6000000,59707,坡道機械,0.0,0,,RPORMLOKKINFFEF48CA
淡水區,土地,米蘭段481~510地號,100.41,住,,,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12760000,127079,,0.0,0,,RPQQMLSKKINFFEF98CA
貢寮區,土地,撈洞段撈洞小段1~30地號,43.0,其他,,,1071110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,6047,,0.0,0,(包含)公共設施保留地之交易。;土地增值稅1710元由買方繳納。,RPQNMLNLJINFFFF28CA
瑞芳區,房地(土地+建物),新北市瑞芳區建基路二段91~120號,152.46,,山坡地保育區,丙種建築用地,1070910,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0550701,70.98,2,1,1,有,無,5000000,70442,,0.0,0,,RPQNMLMKKINFFFF18CA
貢寮區,土地,雞母嶺段雞母嶺小段211~240地號,2175.08,,山坡地保育區,農牧用地,1071031,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,138,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLTKKINFFFF09CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長樂路1~30號,39.0,住,,,1071009,土地1建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,256.1,4,2,3,有,有,25940000,122660,坡道平面,72.34,3400000,,RPTNMLNLJINFFGF68CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長樂路1~30號,39.0,住,,,1071015,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,256.28,4,2,3,有,有,25380000,120150,坡道平面,72.51,3300000,,RPUNMLNLJINFFGF78CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長樂路1~30號,30.4,住,,,1071011,土地1建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,210.57999999999998,3,2,2,有,有,20430000,123628,坡道平面,71.21,3200000,,RPVNMLNLJINFFGF88CA
蘆洲區,房地(土地+建物),新北市蘆洲區民族路422巷31~60號,24.75,住,,,1071028,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720818,108.18,3,1,2,有,無,8200000,75800,,0.0,0,,RPSOMLNLJINFFGF68CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區集賢路211~240號,25.53,住,,,1071113,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020617,224.06,4,2,2,有,有,29800000,133000,坡道平面,34.89,0,,RPOOMLQLJINFFGF58CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長興路50巷1~30號,21.0,住,,,1070922,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,137.61,2,2,1,有,有,13170000,113541,坡道平面,37.47,1800000,,RPPOMLQLJINFFGF68CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長樂路1~30號,37.2,住,,,1071013,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,219.94,4,2,3,有,有,24000000,121347,坡道平面,36.17,1700000,,RPQOMLQLJINFFGF78CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長樂路1~30號,28.6,住,,,1071022,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070208,176.82999999999998,3,2,2,有,有,18550000,120910,坡道平面,37.47,1700000,,RPSOMLQLJINFFGF98CA
